line,text
3,"WARNING: PLEASE USE A DIFFERENT WEB-BROWSER!. CURRENTLY USERS ARE REPORTING SOME VERSIONS OF INTERNET EXPLORER HAVE PROBLEMS USING OUR WEBSITE, PLEASE USE FIREFOX, CHROME, EDGE, OPERA OR ANY OTHER MODEN WEBBROWSER."
6,Privacybeleid Goparts.
9,About our privacy policy.
12,"Goparts cares greatly about your privacy. We exclusively process data that we need for (improving) our services, and carefully handle all information gathered about you and your usage of our services. Your data is not shared with third parties for commercial goals. This privacy policy applies to the use of the website and the services provided by Goparts. The starting date for the validity of these terms and conditions is 03/05/2020, with the publication of a new version the validity of all previous versions is canceled. This privacy policy describes what information about you is collected by us, what this data is used for and with whom and under what conditions this data could be shared with third parties. We also explain to you how we store your data, how we protect your data against misuse and what rights you have regarding the personal data you provide us."
15,"If you have any questions about our privacy policy, please contact our privacy contact person, you will find the contact details at the end of our privacy policy."
18,About our dataprocessing.
21,"Below you can read how we process your data, where we save it, what security techniques we use and to whom the data is visible."
24,Webshopsoftware.
27,"Our webshop has been in-house developed and is hosted by Tilaa. Personal data gathered with the use of our website and services is shared with our in-house technical support and Tilaa. Tilaa has the ability to access our servers and offer (technical) support. They will not use this data for any other purposes. Tilaa has an obligation, based on the agreement we have with them, to take necessary precautions and security measures when it comes to your personal data."
30,E-mail en mailinglijsten.
33,Office 365.
36,"For our regular business email, we use the email services of Microsoft Office365. This party has implemented fitting technical and organisational measures to prevent misuse, loss or corruption of your data. Microsoft Office365 does not have access to our mailbox and we treat our email-traffic confidentially."
39,Payment processors.
42,Ingenico ogone.
45,"To process your payments we use a payment service provider. The platform for this is: Ingenico Ogone. Ingenico processes your name, address and payment information like your creditcard or bankaccount number. Ingenico processed your payment information securely to protect your privacy. Ingenico only keeps your information as long as is needed by law."
48,Delivery and logistics.
51,PostNL.
54,"If you place an order with us it is our responsibility to have your order successfully delivered to you. For the delivery we use the services of PostNL. For a successful delivery it is important that we share you name, address and residential details with PostNL. PostNL uses this information with the sole purpose to carry out the agreement of delivery. In case of PostNL hiring subcontractors, they will share said information with these parties."
57,DHL.
60,"If you place an order with us it is our responsibility to have your order successfully delivered to you. For the delivery we use the services of DHL. For a successful delivery it is important that we share you name, address and residential details with DHL. DHL uses this information with the sole purpose to carry out the agreement of delivery. In case of DHL hiring subcontractors, they will share said information with these parties."
63,GLS.
66,"If you place an order with us it is our responsibility to have your order successfully delivered to you. For the delivery we use the services of GLS. For a successful delivery it is important that we share you name, address and residential details with GLS. GLS uses this information with the sole purpose to carry out the agreement of delivery. In case of GLS hiring subcontractors, they will share said information with these parties."
69,Seabourne.
72,"If you place an order with us it is our responsibility to have your order successfully delivered to you. For the delivery we use the services of Seabourne. For a successful delivery it is important that we share you name, address and residential details with Seabourne. Seabourne uses this information with the sole purpose to carry out the agreement of delivery. In case of GLS hiring subcontractors, they will share said information with these parties."
75,TNT.
78,"If you place an order with us it is our responsibility to have your order successfully delivered to you. For the delivery we use the services of TNT. For a successful delivery it is important that we share you name, address and residential details with TNT. TNT uses this information with the sole purpose to carry out the agreement of delivery. In case of TNT hiring subcontractors, they will share said information with these parties."
81,Accounting and Bookkeeping.
84,Exact online.
87,"For our accounting, administration and bookkeeping we use the services of Exact online. We share your name, address, residential details and general details concerning your order/purchase. This data is used for the administration of sales invoices. Your personal data is securely sent and stored, Exact online has implemented fitting technical and organisational measures to protect your personal data against loss or unauthorised use. Exact online is obligated to a duty of confidentiality and will treat your data accordingly. Exact online does not use your personal data for any other purposes other than those previously described above."
90,External sales channels.
93,{removed hyperref}.
96,"Part of our sales are done through the platform of {removed hyperref}. When you place an order at {removed hyperref}, {removed hyperref} will share your order- and personal information with us. We use this information to further handle and conclude your order. We go about your data in a confidential manner and have implemented fitting technical and organisational measures to protect your personal data against loss or unauthorised use."
99,{removed hyperref}.
102,"Part of our sales are done through the platform of {removed hyperref}. When you place an order at {removed hyperref}, {removed hyperref} will share your order- and personal information with us. We use this information to further handle and conclude your order. We go about your data in a confidential manner and have implemented fitting technical and organisational measures to protect your personal data against loss or unauthorised use."
105,Purpose of data processing.
108,General purpose of data processing.
111,"We use your data with the sole purpose of providing you with our services. This means that the goal of processing this data stands in direct relation to the assignment or task that you offer us. We do not use this data for (addressed) marketing purposes. If you share information with us and we use this information to - not based on a request contact you at a later time, we will first ask for explicit consent. Your data is not shared with third parties, with any other purpose than to fulfil accountancy and administrative obligations. These third parties are all obligated to a duty of confidentiality based on the agreement we have with them, an oath or legal obligation."
114,Automatically collected data.
117,"Information automatically gathered by our website is processed with the sole purpose of providing you with and/or to further improve our services. This information (for instance your IP address (anonymised), web browser and operating system) is not personal information."
120,Cooperation in tax and criminal investigation.
123,"In some cases, we may be obligated by government to a lawful duty of sharing your information with the purpose of assisting in a fiscal or criminal investigation. In such cases we are forced to comply and assist, but will, based on lawful possibilities, offer objection."
126,Retention periods.
129,"We store your data for as long as you are a client with us. This means that we maintain and keep your client profile until you make it known to us that you no longer desire to use our services. Such a message also functions as a request to be forgotten. We are required to keep invoices with your (personal) information due to relevant administrative obligations, this information is safely stored for as long as the relevant term for these obligations has not yet passed. Personnel no longer has access to your client profile and any documents made because of your assignment or task."
132,Your rights.
135,"Based on valid Dutch and European law you, as a concerning party, have certain rights when it comes to personal data that is processed by or on behalf of us. Below you may find an explanation of these rights and how you, as a concerning party, can invoke these rights. In principle to prevent abuse we only send invoices and copies of your data to e-mail addresses that you have made known to us. Should you wish to receive this data on another e-mail address or for instance per mail we will ask you to identify yourself accordingly. We maintain an administration of concluded requests, in case of a request to be forgotten we will maintain an administration of anonymised data. You receive all invoices and copies of data in files that are structured in a machine-readable format Based on data classifications that we use within our system. At all times you maintain the right to lodge a complaint with Autoriteit Persoonsgegevens if you suspect that we mistreat or misuse your personal data."
138,Right of inspection.
141,"At all times you maintain the right to view the data we process that has a relation or may be reducible to your person. You may request such a viewing to our contact in charge of privacy matters. You will receive a response to your request within 30 days. If your request is approved we will send you, via the e-mail address known to us, a copy of all data with an added overview of processors managing this data while also mentioning the categories under which we store this data."
144,Right to rectification.
147,"At all times you maintain the right to have the data we process that has a relation or may be reducible to your person be adjusted. You may request such an adjustment to our contact in charge of privacy matters. You will receive a response to your request within 30 days. If your request is approved we will send you, via the e-mail address known to us, a confirmation that the data has been adjusted."
150,Right to restriction of processing.
153,"At all times you maintain the right to limit the data we process that has a relation or may be reducible to your person. You may request such limiting to our contact in charge of privacy matters. You will receive a response to your request within 30 days. If your request is approved we will send you, via the e-mail address known to us, a confirmation that the processing of your data is limited until you chose to cancel said limitation."
156,Right of transferability.
159,"At all times you maintain the right to request for the data we process that has a relation or may be reducible to your person be processed by a third party of choice. You may send in such a request to our contact in charge of privacy matters. You will receive a response to your request within 30 days. If your request is approved we will send you, via the e-mail address known to us, your (personal) invoices or copies of data that we, or third parties on behalf of us, have processed. It is highly likely that in such a case we can no longer offer our services to you for we can no longer guarantee the previous data safety."
162,Right of objection and other rights.
165,"At all times you maintain the right to object to the processing done by us, or on behalf of us by third parties, of your personal data. In case of such an objection we will immediately cease all processing of your data while your objection is being investigated and handled. In case of a justified objection we will return all invoices and/or copies of personal data that we, or third parties on behalf of us, have processed up until that point and cease processing thereafter. You also maintain the right to not be subject of automated decision-making processes or profiling. We process your data in such a way that this right does not apply. Should you believe that this right does apply then we ask you to reach out to our contact in charge of privacy matters."
168,Cookies.
171,Google Analytics.
174,"Cookies from the American company Google are placed via our website as part of the Analytics service. We use this service to track and get reports on how visitors use the website. This processor may be obliged to provide access to this data under applicable laws and regulations. We collect information about your surfing behavior and share this data with Google. Google can interpret this information in conjunction with other datasets and in this way follow your movements on the internet. Google uses this information to offer, among other things, targeted advertisements (Adwords) and other Google services and products."
177,Google Adwords.
180,"Cookies from the American company Google are placed via our website as part of the Adwords service. We use this service to track and get reports on how visitors use the website. This processor may be obliged to provide access to this data under applicable laws and regulations. We collect information about your surfing behavior and share this data with Google. Google can interpret this information in conjunction with other datasets and in this way follow your movements on the internet. Google uses this information to offer, among other things, targeted advertisements (Adwords) and other Google services and products."
183,Privacy policy changes.
186,"At all times we maintain the right to alter our privacy policy. This page however always displays the most recent version of our privacy policy. Should a new privacy policy have consequences for the ways in which we process recently gathered data in regard to your person, then we will notify you of this via e-mail."
189,Contact information.
192,Goparts.
195,Lutterveldweg 5 4005LD Tiel Nederland E {removed hyperref}.
198,Contact person regarding privacy.
201,For the attention of: MANAGER PRIVACY.
204,Why choose GoParts?
207,{number list}.
210,{list item} Easy online ordering.
213,{list item} All your spare parts from one supplier.
216,{list item} Shipped and Packed Professionally.
219,Multiple payment options.
222,We offer several payment options. Pay safely and securely with the payment method you are used to.
